DynamoDB Schema - prod production deployment
Detail,Value
CloudFormation stack,roomie-dynamodb-main
Template,infrastructure/dynamodb-table-main.yaml
Table-name prefix,RoommateStatus-main-
Parallel folder,db_schema/dev — identical apart from the prefix
Grid format,"Each CSV is a title row, a header row of attributeName (DynamoDBType), then example rows"
-v2 suffix,"Historical: these replaced id-keyed tables of the same name, which a key schema change could not alter in place"

LEGEND
Notation,Meaning
S,DynamoDB string
N,DynamoDB number
BOOL,DynamoDB boolean
SS,DynamoDB string set
L,DynamoDB list
M,DynamoDB map
NULL,DynamoDB null
(empty cell),Attribute is absent from the item
null,Attribute is present and holds the NULL type
JSON in a cell,SS / L / M values are shown as JSON
Schemaless,Only the keys are fixed by CloudFormation; these are the attributes the Flask backend (docker/flask/) actually writes

TABLES AT A GLANCE (one CSV per table in this folder)
Table,CSV file,Partition key,Index,Written by,Purpose
RoommateStatus-main,RoommateStatus-main.csv,id (S),,db.py,Accounts
RoommateStatus-main-pushsubs,RoommateStatus-main-pushsubs.csv,id (S),"UserIdIndex (HASH userId, ProjectionType ALL)",push.py,Web Push subscriptions
RoommateStatus-main-activities-v2,RoommateStatus-main-activities-v2.csv,"groupId (S) + id (S)",,activities.py,Proposed activities
RoommateStatus-main-requests-v2,RoommateStatus-main-requests-v2.csv,"groupId (S) + id (S)",,household_requests.py,Household requests
RoommateStatus-main-spotify-jam,RoommateStatus-main-spotify-jam.csv,id (S),,jam.py,Active Spotify Jam (one per group)
RoommateStatus-main-shows-v2,RoommateStatus-main-shows-v2.csv,"groupId (S) + id (S)",,household_shows.py,TV show tracker
RoommateStatus-main-checklists-v2,RoommateStatus-main-checklists-v2.csv,"groupId (S) + id (S)",,household_checklists.py,Household checklists
RoommateStatus-main-comment-likes-v2,RoommateStatus-main-comment-likes-v2.csv,"groupId (S) + id (S)",,"activities.py, household_requests.py",Likes on activity & request comments
RoommateStatus-main-groups,RoommateStatus-main-groups.csv,groupId (S),"JoinCodeIndex (HASH joinCode, ProjectionType ALL)",groups.py,Households / join-by-code groups
RoommateStatus-main-memberships,RoommateStatus-main-memberships.csv,"groupId (S) + userId (S)","UserIdIndex (HASH userId, ProjectionType ALL)",db.py,"Account memberships, admin roles, and per-group statuses"
RoommateStatus-main-migrations,RoommateStatus-main-migrations.csv,id (S),,migrations/runner.py,In-place data-migration ledger + run lock

"COMMON SETTINGS (every table, from the CloudFormation template)"
Setting,Value
BillingMode,PAY_PER_REQUEST (on-demand capacity)
Encryption at rest,"Enabled, AWS-owned key"
Point-in-time recovery,Enabled
DeletionPolicy,Retain (data survives a stack delete)
